"marr","wage","exper","age","coll","games","minutes","guard","forward","center","points","rebounds","assists","draft","allstar","avgmin","black","children"
0,2,3,24,3,82,3066,1,0,0,19.2,4.7,4.6,4,0,37.39,1,0
0,0.275,2,24,4,81,1773,0,1,0,5.8,7.5,1.2,41,0,21.889,1,0
0,2.033,2,22,3,79,2896,0,1,0,19.2,4.5,3.4,4,1,36.658,1,0
0,0.488,3,24,4,47,1255,0,0,1,11.4,5.5,1,30,0,26.702,1,0
0,1.065,4,25,4,79,1684,0,1,0,8.8,4.4,1.5,6,0,21.316,1,0
0,0.25,7,28,4,16,158,1,0,0,1.3,0.6,1.4,46,0,9.875,1,0
0,1.082,3,25,2,80,2617,1,0,0,18,2.1,4.5,3,0,32.713,1,1
1,2.161,2,24,4,79,2699,0,1,0,15.4,8.7,2.1,5,0,34.165,1,0
1,0.6,5,27,4,74,877,0,1,0,4.1,2.7,0.5,0,0,11.851,1,0
0,0.15,1,23,4,38,285,1,0,0,1.9,0.9,0.4,34,0,7.5,1,0
0,3,3,28,4,82,2853,0,0,1,12,11.9,1.5,4,0,34.793,1,0
1,1.2,1,23,3,79,1406,0,1,0,8.1,2.9,1.3,9,0,17.797,1,0
0,1.1,1,24,4,82,2853,1,0,0,12.5,4.2,2.4,13,0,34.793,1,0
0,1.244,2,25,3,80,1507,0,1,0,8,5.6,0.6,10,0,18.837,1,1
1,1.28,9,31,4,69,2591,1,0,0,20.4,2.2,3.8,18,0,37.551,1,1
0,0.735,1,23,4,79,1519,1,0,0,8.5,1.5,1.3,11,0,19.228,1,0
0,0.902,1,24,4,82,2172,1,0,0,10.3,2.3,4.8,10,0,26.488,1,0
0,0.3,5,28,4,71,1163,0,0,1,5.1,4,1.2,17,0,16.38,0,0
0,1.498,3,24,4,42,496,1,0,0,3.9,1,1.2,8,0,11.81,1,0
1,0.672,2,24,4,69,1786,0,0,1,9.2,6.9,3.5,22,0,25.884,1,1
0,1.617,4,27,4,80,2773,0,1,0,17.3,8.4,1.5,16,0,34.662,1,0
1,1,11,34,4,82,1230,0,0,1,4.7,3.6,0.4,30,0,15,1,0
1,1.16,4,24,4,69,1318,0,1,0,8.7,4.5,1,17,0,19.101,1,1
0,1.12,4,27,4,82,1296,0,1,0,8.2,4.9,0.5,16,0,15.805,1,0
0,0.25,3,26,4,76,1097,1,0,0,5.7,1.2,2.9,0,0,14.434,1,0
1,2.844,10,31,4,62,2324,0,1,0,16.8,5.6,5.1,7,1,37.484,0,1
1,2.414,4,25,3,79,2738,0,1,0,15,8.1,4.1,3,0,34.658,1,1
1,2.1,13,35,4,51,1022,1,0,0,14.5,1.6,1.8,18,0,20.039,1,1
1,0.7,3,24,4,82,3533,1,0,0,21,4.9,4.7,24,1,43.085,1,0
0,1.6,2,21,2,76,2438,0,1,0,17.5,9.1,3.6,1,1,32.079,1,0
1,0.525,7,29,4,73,1225,1,0,0,5.2,1.4,2,0,0,16.781,0,0
0,0.65,2,24,4,66,1122,1,0,0,6.7,2,2.9,24,0,17,1,0
0,0.79,5,31,4,67,1606,1,0,0,9.3,2.7,3.1,0,0,23.97,1,0
0,1.1,4,28,3,75,1292,0,1,0,4.7,3.8,0.5,0,0,17.227,1,0
0,1.2,3,24,4,81,2370,0,1,0,9.9,5.4,2.9,11,0,29.259,1,0
0,1.544,7,29,4,75,2571,1,0,0,13.6,5.1,5.1,47,0,34.28,1,1
0,3.17,11,31,4,80,3277,0,0,1,27.3,11.9,3.6,1,1,40.963,1,0
0,0.225,2,24,4,47,219,0,0,1,1.9,1.3,0.2,0,0,4.66,1,0
1,2.283,8,29,4,78,2209,1,0,0,11.6,4.2,4.2,6,0,28.321,1,1
0,2.428,11,32,4,82,2909,0,1,0,14,10.6,2.3,9,0,35.476,1,0
0,1.05,1,23,4,64,759,1,0,0,5.3,1.1,1.2,13,0,11.859,1,0
0,0.15,1,24,4,49,923,0,1,0,8.7,3.1,0.6,0,0,18.837,1,0
0,1.1,6,29,4,78,1533,1,0,0,7.5,1.8,3.7,15,0,19.654,1,0
0,1.694,5,28,4,37,1022,1,0,0,10,3,6.4,10,0,27.622,1,0
0,2.84,3,24,4,14,350,0,0,1,7.4,6.6,0.8,23,0,25,1,1
0,1.023,2,24,4,43,623,0,1,0,6.6,2.7,1.1,14,0,14.488,1,1
1,0.569,2,25,4,76,1930,0,0,1,8.9,5.5,1,25,0,25.395,1,0
0,1.225,4,26,4,75,2118,0,1,0,11.7,8.7,1,13,0,28.24,1,1
0,0.65,2,24,4,40,352,1,0,0,3.6,0.7,1.8,16,0,8.8,1,0
0,0.15,1,25,4,53,535,0,0,1,2.1,2.2,0.3,0,0,10.094,0,0
1,3.2,9,33,4,25,556,0,0,1,8.9,5.2,1.9,2,0,22.24,0,0
0,1.7,4,26,4,76,2253,0,1,0,12.3,6.8,1.1,27,0,29.645,1,1
0,1.445,2,24,4,65,1515,1,0,0,10.3,3.6,2.1,17,0,23.308,0,0
1,4.133,5,26,0,79,2685,0,0,1,14.2,10.8,3.9,26,0,33.987,0,0
0,0.15,1,24,4,27,247,0,1,0,2.6,2.2,0.2,0,0,9.148,1,1
0,1.1,1,24,4,71,1762,0,1,0,9.5,5.8,1.3,12,0,24.817,1,0
0,0.91,2,25,4,30,923,1,0,0,14.1,3.6,3.1,15,0,30.767,1,0
0,0.8,4,26,4,73,1617,1,0,0,8.8,2.7,2,51,0,22.151,1,0
0,2.4,11,33,4,81,2278,1,0,0,11.9,1.9,4.2,139,0,28.123,1,0
0,0.15,1,23,4,81,2700,1,0,0,13.6,2.9,5.7,37,1,33.333,1,0
1,1.85,12,33,3,80,1597,0,1,0,10.2,2.3,1.9,1,0,19.962,1,0
0,2,4,25,4,53,1601,0,1,0,19.1,6.5,1.7,48,0,30.208,1,1
0,0.312,4,27,4,37,319,1,0,0,2.3,2.2,0.3,0,0,8.622,1,0
0,1.002,4,26,4,53,697,1,0,0,7,2.6,0.7,9,0,13.151,1,0
1,1.1,7,29,4,75,1880,0,1,0,11.5,2.2,2,63,0,25.067,0,0
0,0.25,2,25,4,72,1199,0,0,1,7.2,4.2,0.4,42,0,16.653,0,0
1,0.922,4,27,4,15,66,0,1,0,2.2,0.7,0.1,12,0,4.4,1,0
1,1.41,6,28,4,69,2201,0,1,0,11.4,7.2,2.5,33,0,31.899,1,1
0,1.186,2,23,3,63,1358,1,0,0,10.5,2.5,1.5,12,0,21.556,1,1
1,2.002,5,27,4,81,2999,1,0,0,21.1,5.4,2.3,4,0,37.025,1,0
1,2.452,8,30,4,76,1910,0,1,0,7.7,5.4,1.7,11,0,25.132,0,0
0,3.057,6,29,4,72,2410,0,0,1,15.1,10.2,1.9,9,0,33.472,1,0
0,2.252,3,25,4,78,2776,1,0,0,17.3,4.5,5,5,0,35.59,1,0
0,0.866,2,23,4,82,2560,0,1,0,13.5,7.6,2,8,0,31.22,1,0
0,0.65,3,25,4,72,1242,1,0,0,6.2,2,2.3,21,0,17.25,0,0
0,0.15,4,26,4,30,579,0,1,0,7.8,4.6,1.1,0,0,19.3,0,0
0,1.722,2,24,4,76,2127,1,0,0,12.7,4.1,1.8,8,0,27.987,1,0
1,0.67,3,24,4,82,1472,1,0,0,5.3,1.3,2.6,23,0,17.951,1,0
0,0.8,4,26,4,82,2533,1,0,0,15.3,3.2,6.7,21,0,30.89,1,1
1,1.47,10,31,4,76,1524,0,1,0,9.6,8.4,0.7,10,0,20.053,1,0
0,1.375,8,31,4,82,1921,0,0,1,3.6,5.4,0.8,69,0,23.427,1,1
0,0.15,1,26,0,5,33,0,1,0,3,3.2,0.4,0,0,6.6,1,1
1,1.6,5,27,4,49,1053,0,1,0,7.9,4.9,1.2,6,0,21.49,1,0
0,2.73,2,25,4,70,2428,0,1,0,16.8,8.6,4.4,3,0,34.686,0,1
0,0.375,2,25,4,55,626,0,1,0,4.5,3.6,0.2,28,0,11.382,1,0
0,2,1,23,4,79,2415,1,0,0,16.6,4,2.6,5,1,30.57,1,0
0,0.27,2,24,4,80,1617,1,0,0,5.9,1.5,3.6,34,0,20.212,1,0
1,1.275,5,27,4,72,2182,1,0,0,14.7,3.2,2.4,38,0,30.306,1,0
1,2.075,6,28,4,71,2206,1,0,0,13.7,3.1,7.2,48,0,31.07,1,0
1,2.925,3,24,2,82,3135,1,0,0,18.8,3.9,9.6,2,1,38.232,1,0
1,3.575,9,30,3,77,1817,0,0,1,9.3,6.5,0.6,3,0,23.597,1,0
1,0.6,1,25,4,79,1950,0,1,0,5.7,6.2,1.2,29,0,24.684,1,0
0,3.44,4,27,3,77,2778,0,1,0,20.2,11.3,3.4,1,1,36.078,1,1
1,1.2,6,29,4,82,2727,1,0,0,14,3.4,2.8,0,0,33.256,1,0
0,0.15,3,26,3,29,591,1,0,0,8.3,2.3,2.3,34,0,20.379,1,0
1,0.65,13,36,4,28,226,0,1,0,2.1,1.9,0.2,0,0,8.071,1,1
1,1.96,6,28,4,50,1349,0,1,0,10.9,4.6,1.6,4,0,26.98,1,1
1,0.921,4,26,4,30,319,0,0,1,2.3,3,0.4,0,0,10.633,0,0
0,0.65,1,24,4,48,386,1,0,0,3.4,0.8,1.5,16,0,8.042,0,0
0,0.95,4,26,4,70,877,0,1,0,4.6,3.6,0.4,0,0,12.529,1,1
1,1.269,3,26,4,80,1994,1,0,0,7.9,2.4,4.6,12,0,24.925,1,0
0,0.65,4,26,4,73,1402,0,1,0,5.1,4.7,1.2,23,0,19.205,1,0
0,0.764,2,24,4,56,1333,1,0,0,11,1.2,3,20,0,23.804,1,0
1,3.625,9,32,4,79,2972,0,0,1,24.5,11.2,2.3,1,1,37.62,1,0
1,2.234,11,33,3,82,2204,1,0,0,9.6,1.7,4.1,11,0,26.878,1,1
0,1.1,5,27,4,73,1903,0,1,0,7.2,5.8,2.1,0,0,26.068,1,1
0,2,9,30,4,82,2932,0,1,0,11.8,11.8,2.7,9,0,35.756,1,1
1,1.1,11,33,3,19,499,1,0,0,7.5,2,5.3,31,0,26.263,1,0
1,2.557,6,29,4,43,1105,0,1,0,10.4,3.8,1.2,3,0,25.698,1,1
1,1.12,5,29,4,59,2057,1,0,0,19,3.1,5.9,0,0,34.864,1,1
1,1.6,13,36,4,70,774,0,0,1,3.3,2.6,0.4,14,0,11.057,1,1
0,1.445,2,24,4,65,1515,1,0,0,10.3,3.6,2.1,17,0,23.308,0,1
0,2.67,5,26,3,81,2811,1,0,0,15.8,5.9,3.6,11,0,34.704,1,0
0,0.65,2,24,4,74,1371,0,1,0,5.3,4.6,0.9,15,0,18.527,1,1
1,0.9,5,30,4,70,948,1,0,0,4.6,1.7,1.5,66,0,13.543,1,0
0,1.965,7,29,4,70,2570,0,1,0,15.1,11,3.4,10,1,36.714,1,1
0,1.244,1,23,3,82,3015,1,0,0,16,5.4,6.6,2,1,36.768,1,1
1,0.985,11,33,4,29,309,0,0,1,1.2,2.4,0.1,21,0,10.655,0,0
0,3.9,2,22,3,81,3224,0,0,1,29.3,13.2,2.1,1,1,39.802,1,1
1,0.15,17,39,4,45,384,0,0,1,1.7,2.1,0.2,14,0,8.533,1,0
1,0.89,4,28,4,74,1357,0,1,0,7.4,3.4,0.8,52,0,18.338,1,1
0,2.82,4,26,3,82,2283,0,1,0,12.8,2.7,2.6,4,0,27.841,1,1
0,1.512,5,28,4,77,2037,1,0,0,9,4.6,5,24,0,26.455,1,0
1,0.9,8,32,4,68,1536,0,1,0,6.6,4,0.9,17,0,22.588,1,0
1,2.7,1,22,1,49,1385,0,0,1,10.2,6.2,2,2,0,28.265,1,0
1,0.182,2,27,0,65,980,1,0,0,5.7,1.7,0.4,0,0,15.077,1,1
1,2.38,11,33,4,77,1750,1,0,0,16.8,3.1,2.2,10,0,22.727,1,0
0,1.65,6,30,4,80,2336,0,1,0,9,5,1.2,7,0,29.2,1,0
1,1.04,2,24,4,82,3147,0,1,0,18.3,10.1,2.3,9,0,38.378,1,1
0,0.613,5,26,4,38,638,0,1,0,7.6,4.8,1,0,0,16.789,1,0
1,1.69,13,35,4,68,1555,1,0,0,8.9,1.9,2.8,31,0,22.868,0,1
1,3.25,10,31,3,65,2298,0,1,0,21.6,11.2,4.5,5,1,35.354,1,1
0,2.3,7,28,4,67,2449,1,0,0,20,2.5,9.5,7,1,36.552,1,0
1,0.65,9,32,4,74,848,0,0,1,3.9,2.6,0.6,6,0,11.459,0,1
0,2.975,6,29,4,80,3207,1,0,0,16.5,4.4,3.4,14,0,40.088,0,0
1,3.25,6,28,4,68,2520,0,1,0,20.6,6.8,3.8,1,1,37.059,1,0
1,2.333,9,30,4,79,2557,0,1,0,16.7,7.1,1.7,2,0,32.367,1,0
1,1.3,6,29,4,79,1441,0,1,0,5.6,4,0.5,21,0,18.241,1,0
1,1.578,11,32,3,68,2334,1,0,0,19.2,6.5,4.9,14,1,34.324,0,1
0,0.79,7,29,4,6,86,0,0,1,2.3,4,0.8,75,0,14.333,1,0
1,2.429,6,29,4,77,2112,0,1,0,10.4,4.6,1.4,12,0,27.429,1,1
0,2.94,10,32,4,78,1276,0,1,0,6.5,4.2,1,46,0,16.359,1,0
0,0.942,2,23,3,65,820,0,1,0,6.7,1.7,0.5,18,0,12.615,1,0
1,2.5,9,31,4,77,2074,1,0,0,13.1,2.8,5.2,24,0,26.935,1,1
0,2.336,5,28,4,82,2853,0,1,0,20.1,6.7,1.9,36,1,34.793,1,0
0,0.65,1,24,3,58,673,1,0,0,4.8,1.3,1.2,21,0,11.603,1,0
0,1.56,6,28,3,82,2889,1,0,0,17.2,4.5,9.2,19,0,35.232,1,0
1,2.5,13,34,3,81,2636,0,1,0,9.7,10.4,1,10,0,32.543,1,0
1,1.85,10,35,4,71,2094,0,1,0,13.2,5.7,3.1,57,0,29.493,0,0
1,0.55,3,26,4,61,1041,1,0,0,4.5,1.8,2.2,31,0,17.066,1,1
1,1.26,4,26,4,41,674,0,0,1,4.4,4.5,0.3,18,0,16.439,1,1
0,1.616,1,23,4,19,499,1,0,0,7.1,1.8,6.1,7,0,26.263,0,0
0,0.15,1,24,4,55,667,0,0,1,3.2,3.1,0.4,52,0,12.127,0,1
0,0.85,7,29,3,68,2402,0,1,0,11.6,11.9,0.6,8,0,35.324,1,1
1,2.5,6,29,4,78,2897,1,0,0,23.4,3.7,4,5,1,37.141,1,0
0,1.743,4,25,4,75,2702,0,1,0,15.1,7.5,4.1,7,0,36.027,1,0
0,0.94,3,25,4,66,877,1,0,0,4.4,1.3,1.8,19,0,13.288,1,1
0,1.462,9,31,4,79,2567,1,0,0,12.7,2.8,6.7,87,0,32.494,1,0
0,1.658,2,24,4,57,1356,0,1,0,11.2,4.1,2.3,7,0,23.789,1,0
0,0.2,2,26,4,57,1221,0,1,0,8,4.7,1.2,36,0,21.421,0,0
0,2.075,6,27,4,80,2488,1,0,0,11.9,3,4.3,10,0,31.1,1,1
0,2.407,12,33,3,59,1133,0,1,0,7.3,5,0.8,2,0,19.203,1,1
1,1.195,4,28,4,77,1949,1,0,0,10,2.1,4.2,29,0,25.312,0,0
1,1.807,5,24,4,73,2409,0,1,0,12.1,3.6,2.7,3,0,33,1,0
1,0.15,5,30,4,28,94,0,0,1,2.1,0.9,0.2,79,0,3.357,0,1
1,2.156,8,30,4,77,2029,0,1,0,11.6,3.3,2.4,4,0,26.351,1,1
1,1.818,5,26,3,70,1344,0,1,0,9,3.1,1,5,0,19.2,1,1
1,5.74,5,29,4,80,3241,0,0,1,29.8,10.7,4.8,1,1,40.513,1,1
0,2.45,8,33,4,79,2989,0,1,0,4.7,17.3,2.3,27,0,37.835,1,1
0,0.15,1,23,4,40,339,1,0,0,1.8,0.7,1.3,47,0,8.475,1,0
0,0.525,6,29,3,80,1690,1,0,0,9.1,2.4,2.4,39,0,21.125,1,0
0,2,5,26,4,79,2435,1,0,0,14.1,3.4,3.5,5,0,30.823,1,0
0,0.6,3,25,4,71,866,0,1,0,2.8,2.7,0.4,27,0,12.197,1,0
0,0.617,2,27,4,45,280,0,0,1,2.6,2.6,0.2,23,0,6.222,1,0
0,0.8,6,25,2,79,2597,0,1,0,18.1,10.8,2.6,17,1,32.873,1,0
1,0.15,2,25,4,15,86,0,1,0,3.7,1,0.6,45,0,5.733,1,0
0,0.7,4,25,4,27,78,0,0,1,1.5,0.8,0.3,14,0,2.889,0,0
1,0.89,9,30,4,73,1887,1,0,0,6,3.9,5.3,30,0,25.849,1,1
0,2.383,5,26,4,81,2881,1,0,0,16.5,3.3,6,2,1,35.568,1,1
0,3.587,11,33,4,81,2170,0,1,0,12.3,4.5,1.4,4,0,26.79,1,0
0,0.17,5,27,4,35,152,0,0,1,2.1,0.7,0.2,39,0,4.343,0,0
1,1.151,10,31,4,81,2728,0,1,0,15,5.6,3.4,8,0,33.679,0,1
1,0.81,3,26,4,55,1070,0,1,0,6.5,4.7,0.4,0,0,19.455,1,1
1,0.15,2,25,4,56,559,1,0,0,3.1,1.1,0.5,0,0,9.982,1,0
0,0.2,2,25,4,45,313,1,0,0,2.9,0.6,1.7,0,0,6.956,0,0
1,1.771,8,31,4,80,2820,1,0,0,15.9,5.2,3.9,46,0,35.25,0,1
1,1.8,10,32,4,75,1619,1,0,0,7.5,1.7,2.9,13,0,21.587,1,1
0,1.2,2,24,4,63,763,0,1,0,4.3,3.2,0.5,10,0,12.111,0,0
1,3.081,9,31,3,82,3329,0,1,0,25.2,11.5,4,13,1,40.598,1,1
1,0.15,1,24,4,67,1121,0,1,0,5,2.7,0.8,45,0,16.731,1,0
0,1.581,4,26,4,79,2210,0,0,1,8.6,8.3,0.5,6,0,27.975,1,0
1,2.4,10,32,4,82,2969,1,0,0,15.1,3,12.6,16,1,36.207,0,1
0,0.65,1,23,3,15,92,0,0,1,1.3,0.7,0,18,0,6.133,1,0
0,0.15,1,24,4,75,1321,1,0,0,6.9,3,1,0,0,17.613,1,0
1,2.004,6,27,4,60,2025,1,0,0,18.2,2.4,3.1,8,0,33.75,0,1
0,2,1,23,4,65,1604,1,0,0,12,2.9,1.9,6,0,24.677,1,0
0,2.312,8,30,4,69,1485,0,0,1,6.6,4.7,0.8,33,0,21.522,1,0
1,1.65,2,25,4,78,2795,0,1,0,17.1,9.3,3.5,6,0,35.833,0,0
0,0.601,2,24,4,75,2487,0,1,0,18.2,6,2.1,19,0,33.16,0,0
0,0.5,1,23,0,54,650,0,0,1,5.6,3.6,0.3,30,0,12.037,0,0
1,0.5,2,25,4,61,749,1,0,0,3.6,1.1,1.5,40,0,12.279,1,0
1,0.283,2,26,4,65,1035,1,0,0,6.2,1.4,3.3,32,0,15.923,0,0
0,1.722,8,30,4,82,2303,1,0,0,9.9,2.3,6.1,22,0,28.085,0,0
1,0.6,3,26,4,3,35,0,1,0,4.3,2.3,0.7,0,0,11.667,1,1
1,0.4,6,30,4,73,1397,0,1,0,4.8,4,0.5,5,0,19.137,1,0
0,1.4,3,26,4,82,2605,1,0,0,14.8,4.8,2.3,9,0,31.768,1,1
1,1.63,5,27,4,81,2915,1,0,0,13.8,5.2,9.7,12,0,35.988,1,1
1,1.4,9,31,4,82,2149,0,1,0,8,4.7,1.5,35,0,26.207,1,1
0,0.65,1,23,4,16,107,0,1,0,2.7,1.1,0.5,15,0,6.688,1,1
1,1.2,11,33,4,82,2147,1,0,0,10,3.4,3.3,48,0,26.183,0,1
0,1.228,6,28,4,82,1608,0,0,1,6.1,3.8,0.7,28,0,19.61,1,1
0,1.51,7,30,3,82,2539,0,1,0,11.9,6.1,2.7,19,0,30.963,1,0
0,2.625,10,31,4,80,2867,0,1,0,19.1,12,1.9,11,0,35.838,1,0
1,0.565,1,26,4,81,1732,0,1,0,7.7,6.2,0.6,45,0,21.383,1,0
0,0.688,3,25,4,66,2292,0,1,0,11.7,10.9,0.7,13,0,34.727,1,0
1,0.833,1,24,4,27,186,0,1,0,2,2,0.3,14,0,6.889,0,0
1,2,7,28,4,79,2711,1,0,0,10.9,4.4,8.6,18,0,34.316,1,1
0,1.262,7,28,3,76,2613,0,1,0,12,5.3,4.3,9,0,34.382,1,0
1,3.21,7,29,4,79,2638,1,0,0,19.9,2.7,3.1,11,1,33.392,1,0
1,0.715,5,31,4,75,1084,0,1,0,4.8,2.5,0.8,54,0,14.453,1,1
1,0.6,11,33,3,67,1197,1,0,0,10.4,1.6,2,4,0,17.866,1,1
0,2.5,6,28,4,78,2113,0,0,1,15.7,6.2,1.8,2,0,27.09,0,0
0,2,12,33,3,30,282,0,1,0,2.3,2.5,0.5,5,0,9.4,1,0
